Player,Team
Al-Farouq Aminu,POR
Maurice Harkless,POR
Evan Turner,POR
Jusuf Nurkic,POR
Pat Connaughton,POR
Shabazz Napier,POR
Caleb Swanigan,POR
Ed Davis,POR
Jake Layman,POR
Meyers Leonard,POR
Zach Collins,POR
C.J. McCollum,POR
Josh Jackson,PHO
Eric Bledsoe,PHO
T.J. Warren,PHO
Devin Booker,PHO
Tyson Chandler,PHO
Troy Daniels,PHO
Dragan Bender,PHO
Tyler Ulis,PHO
Marquese Chriss,PHO
Mike James,PHO
Alec Peters,PHO
Derrick Jones,PHO
Gary Harris,DEN
Nikola Jokic,DEN
Wilson Chandler,DEN
Paul Millsap,DEN
Jamal Murray,DEN
Will Barton,DEN
Emmanuel Mudiay,DEN
Mason Plumlee,DEN
Kenneth Faried,DEN
Juan Hernangomez,DEN
Malik Beasley,DEN
Trey Lyles,DEN
Darrell Arthur,DEN
Rudy Gobert,UTA
Joe Ingles,UTA
Ricky Rubio,UTA
Derrick Favors,UTA
Donovan Mitchell,UTA
Thabo Sefolosha,UTA
Joe Johnson,UTA
Rodney Hood,UTA
Alec Burks,UTA
Ekpe Udoh,UTA
Royce O'Neale,UTA
Nate Wolters,UTA
Jonas Jerebko,UTA
Jimmy Butler,MIN
Karl-Anthony Towns,MIN
Andrew Wiggins,MIN
Taj Gibson,MIN
Jeff Teague,MIN
Jamal Crawford,MIN
Tyus Jones,MIN
Shabazz Muhammad,MIN
Gorgui Dieng,MIN
Nemanja Bjelica,MIN
Aaron Brooks,MIN
Marcus Georges-Hunt,MIN
Cole Aldrich,MIN
LaMarcus Aldridge,SAS
Danny Green,SAS
Kyle Anderson,SAS
Pau Gasol,SAS
Dejounte Murray,SAS
Rudy Gay,SAS
Patty Mills,SAS
Manu Ginobili,SAS
Joffrey Lauvergne,SAS
Davis Bertans,SAS
Bryn Forbes,SAS
Brandon Paul,SAS
Derrick White,SAS
Trevor Ariza,HOU
James Harden,HOU
Ryan Anderson,HOU
Chris Paul,HOU
Clint Capela,HOU
Eric Gordon,HOU
P.J. Tucker,HOU
Luc Mbah a Moute,HOU
Nene Hilario,HOU
Bobby Brown,HOU
Zhou Qi,HOU
Demetrius Jackson,HOU
Tarik Black,HOU
Klay Thompson,GSW
Kevin Durant,GSW
Stephen Curry,GSW
Draymond Green,GSW
Zaza Pachulia,GSW
Nick Young,GSW
Patrick McCaw,GSW
Shaun Livingston,GSW
Jordan Bell,GSW
David West,GSW
Kevon Looney,GSW
Omri Casspi,GSW
JaVale McGee,GSW
Blake Griffin,LAC
Danilo Gallinari,LAC
DeAndre Jordan,LAC
Patrick Beverley,LAC
Milos Teodosic,LAC
Austin Rivers,LAC
Lou Williams,LAC
Wesley Johnson,LAC
Willie Reed,LAC
Sam Dekker,LAC
Sindarius Thornwell,LAC
Montrezl Harrell,LAC
Brice Johnson,LAC
Brandon Ingram,LAL
Larry Nance,LAL
Lonzo Ball,LAL
Brook Lopez,LAL
Luol Deng,LAL
Jordan Clarkson,LAL
Kyle Kuzma,LAL
Julius Randle,LAL
Corey Brewer,LAL
Alex Caruso,LAL
Andrew Bogut,LAL
Tyler Ennis,LAL
Kentavious Caldwell-Pope,LAL
Buddy Hield,SAC
Skal Labissiere,SAC
George Hill,SAC
Willie Cauley-Stein,SAC
Justin Jackson,SAC
Garrett Temple,SAC
De'Aaron Fox,SAC
Kosta Koufos,SAC
Vince Carter,SAC
Malachi Richardson,SAC
Georgios Papagiannis,SAC
JaKarr Sampson,SAC
Frank Mason,SAC
Anthony Davis,NOP
Jrue Holiday,NOP
DeMarcus Cousins,NOP
E'Twaun Moore,NOP
Dante Cunningham,NOP
Ian Clark,NOP
Darius Miller,NOP
Jordan Crawford,NOP
Tony Allen,NOP
Cheick Diallo,NOP
Jalen Jones,NOP
Charles Cooke,NOP
Mike Conley,MEM
Marc Gasol,MEM
Andrew Harrison,MEM
James Ennis,MEM
JaMychal Green,MEM
Dillon Brooks,MEM
Brandan Wright,MEM
Mario Chalmers,MEM
Tyreke Evans,MEM
Jarell Martin,MEM
Chandler Parsons,MEM
Deyonta Davis,MEM
Ivan Rabb,MEM
